_id,comentario,like,fecha,tipopublicacion,old-visualizaciones,visualizaciones,titulo
3288062714327570824,29,224,2024-01-25 13:08:37+00:00,2,0,8858,"¡Llevo a mi madre de compras para enseñarle un descubrimiento con el que estamos encantadas! 💕

Os quería contar mi experiencia con las increíbles bragas menstruales de @dim_spain. Desde que las descubrí, mi vida durante esos días del mes ha cambiado por completo. Son súper cómodas, las utilizo todas las noches en mi período y tengo una sensación de libertad que no conocía. Me han ayudado a despedirme de las incomodidades habituales y necesitaba enseñárselas a mi mamá, ya que ella encima es alérgica a todo tipo de compresas y siempre tenía problemas con ello y con estas bragas sé que le he hecho muy feliz. Ahora no tiene que preocuparme por nada, simplemente disfruta cada momento del día con total confianza. 
 
Además, duran, resisten y se pueden reutilizar en múltiples ciclos menstruales, lo que reduce la cantidad de desechos generados a lo largo del tiempo, eso es súper positivo para cuidar nuestro planeta. 🫶🏼

Creo que todas deberíamos probarlas y experimentar esa sensación de libertad femenina que tanto nos merecemos. ¡No te arrepentirás! 

#bragasmenstruales #menstruaciónadolescente #menarquia #menstruacionconsciente #menstruacionydeporte #menstruacionsostenible #menstruacionsinplasticos #menstruacionecologica #dimprotect #cambiaturegla"
3259751986885666465,18,275,2023-12-17 11:46:25+00:00,2,0,10182,"Reflexionar sobre el año es una de mis cosas favoritas de Diciembre…comencé diciendo que tenía tres propósitos a cumplir muy reales: 

1. Valorarme
2. Quererme más
3. Volver a tener esa ilusión que yo siempre he tenido por mi vida.

Y sí, me he vuelto a sentir una persona con ilusión por las pequeñas cosas y no tan pequeñas, me he dado importancia, he ido mejorando mi vida y he luchado por querer ser y verme feliz.  Ese era mi gran objetivo este año… y después de años de depresión lo he conseguido. 

Solo con eso ya puedo decir que es uno de los mejores años de mi vida. El resto ha venido solo para completar esa felicidad e ilusión  que he conseguido por mi misma. 

Gracias a todos los que formáis parte de mi vida y habéis estado presentes este año, para mí ha sido muy importante ❤️✨ 

#recapvideo #recap #recap2023"
3224506777021341828,2,159,2023-10-29 20:33:16+00:00,2,0,6084,"3 outfits de temporada con mi bolso fav metalizado  @ruemadam_paris @trastiendapress ✨¿Cúal es tu fav? 

#outfits #ootd #ideaslooks #ruemadamparis #inspolook #oldmoney"
3150590973368790723,10,296,2023-07-19 20:51:07+00:00,2,0,6934,"Ha llegado BAE BERRY de @goaorganics a @fm_estilista ❤️‍🔥✨tratamiento que necesitaba probar para recuperar mi pelo antes de destrozarlo más este verano…el cambio de antes a después es brutal y lo mejor de todo es que con el producto hair bloom puedes seguir poniéndotelo en casa mejorándolo aún más y más ¿solución express? EXISTE 😏 

#goa #goaorganics #baeberry #tratamientogoa"
3149663281984514480,13,290,2023-07-18 14:13:24+00:00,2,0,5373,"Yo un día normal comprando el pan 🩷😂 el outfit es de Zara, la verdad es que el vestido queda genial puesto y es muy fresquito, es 100% algodón pero no daba mucho por el en la mano! ¿Qué os parece? 

#ootd #outfits #outfitoftheday #look #lookoftheday"
3130032847175131043,3,156,2023-06-21 12:08:50+00:00,2,0,8943,"¡Damos la bienvenida al verano 😎 con la rutina más refrescante 💦!

Extracto de cactus Opuntia, aloe vera o pepino, son algunos de los ingredientes que hidratarán y refrescarán tu piel de manera inmediata, profunda y duradera. @albisites pone a prueba los tres pasos de la rutina 24H Hidratación y Frescura:

🌵Lleva siempre contigo la HydraMist Bruma Facial Hidratante para potenciar tu hidratación durante el día.
🌵Cuida la delicada piel del contorno de ojos con HydroGel Ojos Refrescantes, muy fácil de usar gracias a su aplicador roll-on.
🌵Hidrata tu piel con HydraLotion o HydraCream Hidratación y Frescura en función de tu tipo de piel. La loción para pieles normales a mixta y la crema para pieles normales a secas.
 
¿Te animas a probar esta rutina?
 
#weleda #cosmeticanatural #cuidadofacial #rutina #ingredientesnaturales"
3128620808042672638,12,203,2023-06-19 13:23:06+00:00,2,0,8753,"Idea de outfit para este verano con este conjunto de @ysabelmoraytu que me parece muy mono y sobre todo súper fresquito 🤍✨ 

#ootd #outfits #outfitoftheday #ysabelmora #summerlooks 
#gifted"
3128051357764486431,16,263,2023-06-18 18:33:16+00:00,2,0,8640,"Tenía que dejar esta maravilla por aquí, detrás de cámaras en la sesión de fotos del Lunes ✨🙌🏽

Photographer and stylist: @moshanzhu"
3118422440635424828,7,237,2023-06-05 11:37:16+00:00,2,0,8256,"El vestido que necesitas para este verano de @zara 🥹❤️🤌🏽 
#zara #haulzara #zarawoman #zaraoutfit #haul"
3103947513258379545,2,152,2023-05-16 12:19:55+00:00,2,0,4560,"Volver a lo esencial para conectar con lo realmente importante 🌴🤍 

#tenerife #tenerifenorte"
3080698068567489543,14,315,2023-04-14 10:34:18+00:00,2,0,18265,"Unboxing de @sprinter_es 💚 me trajeron todas estas cositas y he hecho dos look muy top para entrenar… uno de @adidas y otro de @nike ¿Cuál es vuestro favorito? 😏

#sprinter #nike #adidas #gifted #unboxing #grwm #grwmvideo #reels #ootd #fashion #outfitgym #outfitgymfitness #inspo #look #lookoftheday #outfitideas"
3074440662581551888,3,184,2023-04-05 19:23:46+00:00,2,0,15942,"Grwm para irnos al gym, Nike siempre ha sido una de mis marcas favoritas y @sprinter_es lo sabe💚 #sprinter #nike #sprintergym #grwm #grwmgym #outfit #outfitoftheday #outfitideas"
3061430397793420057,7,328,2023-03-18 20:45:06+00:00,2,0,13626,OOTD 🌞 #grwm #grwmvideo #reels #ootd #fashion #outfit #inspo #look #lookoftheday #outfitideas #basicoutfits
3048408551821064837,50,881,2023-02-28 21:11:16+00:00,2,0,16773,"NEW LOOK 💖🥹 ya he encontrado el color más parecido a mi color natural y fuera mechas rubias por completo. ¿Qué os parece? me estoy enamorando del color castaño cada día más, todo gracias a ellos @fm_estilista 💖🥹
Saben cuidar siempre mi pelo con el color que sea y aciertan con todo. 

Creo que al final es mucho más natural mi pelo así, y voy a poder dejarlo crecer mucho, mucho…tanto como yo quiero. 
Venir desde Madrid hasta Alicante por ellos merece la pena al 100% 💗 

#newlook #cambiolook #peloscastaños #pelolargo"
3026405655111713303,9,225,2023-01-29 12:35:09+00:00,2,0,7376,"Outfit día 3 de Segovia y pruebo las medias térmicas, que por cierto las rompí con las uñas pero lo bueno es que se pueden intercambiar 🥲😂 

#grwm #grwmvideo #reels #ootd #fashion #outfit #inspo"
3025947583654207103,0,168,2023-01-28 21:26:33+00:00,2,0,5343,"Segundo look de Segovia 🤍🙌 

#lookoftheday #look #outfitinspiration #outfit #ootd #streetstyle #segovia #lookreels #streetstyle"
3025042966426811470,6,307,2023-01-27 15:28:25+00:00,2,0,7485,"Arréglate conmigo para mi primer día en Segovia ☁️🤍 

#ootd #segovia #outfit #outfitoftheday #lookoftheday #streetstyle #look #outfitinspiration"
3006771156542891441,10,320,2023-01-02 10:24:53+00:00,2,0,8579,"Welcome 2023 ✨ Maybe this year I’ll be the one to surprise you. 

Peinado: @fm_estilista 
Tacones: Zara 
Bolso: Zara 
Vestido: Bershka 

#look #lookinspiration #outfitoftheday #outfits #outfitinspo"
2993776615582499167,78,639,2022-12-15 12:07:09+00:00,2,0,15023,"¡CAMBIO RADICAL! de rubio a castaño 🌰 no estaba programado ni pensado…pero con ellos @fm_estilista todo es fácil 🙌🏽 cambiar de pelo es posible con lo quieras, como lo quieras, sin destrozos, con los mejores cuidados y con productos sanos para tu pelo! 
Si quiero volver al rubio a la larga…tampoco voy a tener ningún problema, a si que no hay mejor sitio que las manos de ellos para todo tipo de pelo 🥰❤️

Estoy retomando mi vida de nuevo en todos los aspectos, no hace falta empezar el año para hacer cambios, yo he empezado ya 😌💘 ¿Y tú? 

#cambioradical #blondie #pelocastaño #goa #k18 
#tahe #peluqueria #alicante"
